'A Feed','D Feed','E Feed','A and C Feed','Recycle Flow','Reactor Feed Rate','Reactor Pressure','Reactor Level','Reactor Temperature','Purge Rate','Product Sep Temp','Product Sep Level','Product Sep Pressure','Product Sep Underflow','Stripper Level','Stripper Pressure','Stripper Underflow','Stripper Temp','Stripper Steam Flow','Compressor Work','Reactor Coolant Temp','Separator Coolant Temp','Component A to Reactor','Component B to Reactor','Component C to Reactor','Component D to Reactor','Component E to Reactor','Component F to Reactor','Component A in Purge','Component B in Purge','Component C in Purge','Component D in Purge','Component E in Purge','Component F in Purge','Component G in Purge','Component H in Purge','Component D in Product','Component E in Product','Component F in Product','Component G in Product','Component H in Product'

0.271032874,3649.739415,4451.320791,9.22314238,32.39289976,47.55975363,2798.975799,64.99582452,122.8987964,0.197826456,91.99326726,49.97086028,2703.521071,25.25755863,49.68186732,3330.810326,22.88620734,66.62830284,0,272.7821772,102.4800282,92.26253071,32.14965173,14.8784917,18.85169488,5.998757763,16.66867028,4.054378413,32.62967616,21.70356227,13.29750116,0.895835585,16.13740118,5.396131414,6.675361126,3.264531098,0.010714871,0.574717472,0.186135858,53.76309769,43.98572334
0.268794505,3690.424799,4426.196265,9.256312856,32.22485605,47.72054483,2798.822219,65.63208011,122.9039759,0.194820062,91.98681236,49.95293871,2703.641318,25.47435252,49.68462378,3330.805004,23.11334848,66.6123194,2.424768647,272.8311628,102.4714053,92.26742769,32.14965173,14.8784917,18.85169488,5.998757763,16.66867028,4.054378413,32.62967616,21.70356227,13.29750116,0.895835585,16.13740118,5.396131414,6.675361126,3.264531098,0.010714871,0.574717472,0.186135858,53.76309769,43.98572334
0.269920065,3654.7196,4434.348082,9.28166712,32.51750658,48.01311251,2798.65665,64.32363241,122.8807761,0.19718018,91.97528276,51.39753976,2703.440631,25.37402164,50.60127016,3330.885457,22.9262223,66.63894426,-0.809572903,272.6405878,102.4656653,92.18973431,32.14965173,14.8784917,18.85169488,5.998757763,16.66867028,4.054378413,32.62967616,21.70356227,13.29750116,0.895835585,16.13740118,5.396131414,6.675361126,3.264531098,0.010714871,0.574717472,0.186135858,53.76309769,43.98572334
0.269585385,3671.31023,4470.047874,9.173101583,32.22557278,47.63970023,2799.083475,64.98661947,122.9086593,0.19655335,91.97408988,50.30288121,2704.019193,25.15033234,51.216062,3330.399363,22.79990474,66.61941691,1.60864807,272.8895406,102.4985615,92.3094337,32.14965173,14.8784917,18.85169488,5.998757763,16.66867028,4.054378413,32.62967616,21.70356227,13.29750116,0.895835585,16.13740118,5.396131414,6.675361126,3.264531098,0.010714871,0.574717472,0.186135858,53.76309769,43.98572334
0.269643921,3636.157703,4400.932006,9.244480037,32.05777055,47.61071557,2799.482645,65.18733661,122.9171189,0.19959936,91.96989391,47.78998573,2703.351732,25.13412349,49.94414096,3331.231689,22.82821865,66.61842299,0.122310885,272.836762,102.4838078,92.28962288,32.14965173,14.8784917,18.85169488,5.998757763,16.66867028,4.054378413,32.62967616,21.70356227,13.29750116,0.895835585,16.13740118,5.396131414,6.675361126,3.264531098,0.010714871,0.574717472,0.186135858,53.76309769,43.98572334
0.273102615,3616.247423,4440.937866,9.328803444,32.28423376,47.51226091,2799.268297,65.46900501,122.8814472,0.193773751,91.95732483,49.94776012,2704.105996,25.23070904,50.3419313,3330.897221,22.60231522,66.60803067,0.554891761,272.7396532,102.4927138,92.12604182,32.14965173,14.8784917,18.85169488,5.998757763,16.66867028,4.054378413,32.62967616,21.70356227,13.29750116,0.895835585,16.13740118,5.396131414,6.675361126,3.264531098,0.010714871,0.574717472,0.186135858,53.76309769,43.98572334
0.26987322,3659.696002,4483.664538,9.128212169,32.15768946,48.00985254,2799.157036,64.90006692,122.9131052,0.195879451,91.94305634,50.20176286,2703.339049,25.30186567,48.63052906,3330.955023,23.12158058,66.61237791,0.274560507,272.455378,102.4940611,92.24306695,32.14965173,14.8784917,18.85169488,5.998757763,16.66867028,4.054378413,32.62967616,21.70356227,13.29750116,0.895835585,16.13740118,5.396131414,6.675361126,3.264531098,0.010714871,0.574717472,0.186135858,53.76309769,43.98572334
0.271145192,3638.421147,4439.22004,9.228543148,32.56218531,47.52637931,2798.790387,64.64545601,122.8880279,0.19717345,91.93759932,48.93901885,2703.595219,25.36033924,47.22090312,3330.655045,22.86523,66.60555144,-1.927777735,272.5270779,102.4922103,92.25419752,32.14965173,14.8784917,18.85169488,5.998757763,16.66867028,4.054378413,32.62967616,21.70356227,13.29750116,0.895835585,16.13740118,5.396131414,6.675361126,3.264531098,0.010714871,0.574717472,0.186135858,53.76309769,43.98572334
0.271100769,3661.539387,4423.84475,9.26314117,32.36325008,47.7017335,2799.44029,63.82832685,122.9071389,0.196329917,91.95701358,49.37004395,2703.682518,25.36751991,49.10495203,3331.39015,22.95970166,66.61786767,0.268741282,273.0293499,102.4681524,92.29877452,32.14965173,14.8784917,18.85169488,5.998757763,16.66867028,4.054378413,32.62967616,21.70356227,13.29750116,0.895835585,16.13740118,5.396131414,6.675361126,3.264531098,0.010714871,0.574717472,0.186135858,53.76309769,43.98572334
